"state","county","total_population_20","incarcerated_20","total_population_10","incarcerated_10","total_population_00","incarcerated_00","FIPS"
"ID","Benewah County","9530","8","9285","5","9171","24","16009"
"ID","Bingham County","47992","138","45607","115","41735","107","16011"
"ID","Blaine County","24272","56","21376","0","18991","26","16013"
"ID","Boise County","7610","0","7028","0","6670","4","16015"
"ID","Bonner County","47110","89","40877","95","36835","82","16017"
"ID","Bonneville County","123964","514","104234","328","82522","362","16019"
"ID","Boundary County","12056","10","10972","20","9871","15","16021"
"ID","Butte County","2574","4","2891","2","2899","5","16023"
"ID","Camas County","1077","0","1117","0","991","0","16025"
"ID","Canyon County","231105","430","188923","802","131441","387","16027"
"ID","Caribou County","7027","47","6963","47","7304","4","16029"
"ID","Cassia County","24655","128","22952","134","21416","119","16031"
"ID","Clark County","790","1","982","0","1022","0","16033"
"ID","Clearwater County","8734","582","8761","545","8930","511","16035"
"ID","Custer County","4275","1","4368","9","4342","4","16037"
"ID","Elmore County","28666","106","27038","94","29130","37","16039"
"ID","Franklin County","14194","0","12786","0","11329","10","16041"
"ID","Fremont County","13388","278","13242","253","11819","117","16043"
"ID","Gem County","19123","37","16719","47","15181","24","16045"
"ID","Gooding County","15598","18","15464","35","14155","21","16047"
"ID","Idaho County","16541","410","16267","414","15511","297","16049"
"ID","Jefferson County","30891","104","26140","80","19155","15","16051"
"ID","Jerome County","24237","99","22374","54","18342","23","16053"
"ID","Kootenai County","171362","287","138494","343","108685","223","16055"
"ID","Latah County","39517","11","37244","84","34935","42","16057"
"ID","Lemhi County","7974","2","7936","9","7806","14","16059"
"ID","Lewis County","3533","4","3821","15","3747","8","16061"
"ID","Lincoln County","5127","0","5208","0","4044","0","16063"
"ID","Madison County","52913","76","37536","83","27467","59","16065"
"ID","Minidoka County","21613","0","20069","0","20174","0","16067"
"ID","Nez Perce County","42090","87","39265","108","37410","37","16069"
"ID","Oneida County","4564","0","4286","0","4125","2","16071"
"ID","Owyhee County","11913","28","11526","33","10644","25","16073"
"ID","Payette County","25386","37","22623","55","20578","15","16075"
"ID","Power County","7878","11","7817","20","7538","23","16077"
"ID","Shoshone County","13169","21","12765","60","13771","46","16079"
"ID","Teton County","11630","0","10170","0","5999","6","16081"
"ID","Twin Falls County","90046","288","77230","342","64284","273","16083"
"ID","Valley County","11746","59","9862","23","7651","18","16085"
"ID","Washington County","10500","23","10198","44","9977","29","16087"
"MO","Adair County","25314","50","25607","39","24977","15","29001"
"MO","Andrew County","18135","0","17291","15","16492","9","29003"
"MO","Atchison County","5305","9","5685","8","6430","2","29005"
"MO","Audrain County","24962","1242","25529","1481","25853","1387","29007"
"MO","Barry County","34534","44","35597","55","34010","22","29009"
"MO","Barton County","11637","10","12402","6","12541","18","29011"
"MO","Bates County","16042","159","17049","84","16653","14","29013"
"MO","Benton County","19394","16","19056","18","17180","13","29015"
"MO","Bollinger County","10567","24","12363","9","12029","11","29017"
"MO","Boone County","183610","223","162642","255","135454","239","29019"
"MO","Buchanan County","84793","1782","89201","2255","85998","2113","29021"
"MO","Butler County","42130","30","42794","111","40867","163","29023"
"MO","Caldwell County","8815","111","9424","118","8969","1","29025"
